Parametric p-value,FDR,Geom mean of intensities in class 1,Geom mean of intensities in class 2,Fold-change(KD/C),UniqueID,Symbol
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000267747,RP11-392O1.4
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000267756,RP11-411B10.4
0.0400929,1,1,1.08,1.075268817204301,ENSG00000268049,CTD-2619J13.9
0.0400929,1,1,1.52,1.5151515151515151,ENSG00000268144,NIFKP6
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000268301,AC018630.1
0.0400929,1,1,1.26,1.2658227848101264,ENSG00000268423,AC011551.3
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000268482,AL160274.1
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000268543,CTD-2619J13.16
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000268884,CTD-2550O8.7
0.0400929,1,1,1.26,1.2658227848101264,ENSG00000268995,VN1R82P
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000269267,AC008498.1
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000269481,CTD-2521M24.6
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000269489,RP11-98D18.17
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000269576,HNRNPMP2
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000269584,TDGF1P7
0.0400929,1,1,1.08,1.075268817204301,ENSG00000269633,AC017081.1
0.0400929,1,1,1.08,1.075268817204301,ENSG00000269954,RP11-148O21.6
0.0400929,1,1,1.08,1.075268817204301,ENSG00000270127,RP11-526I2.5
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000270134,RP11-324E6.9
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000270140,RP5-1021I20.6
0.0400929,1,1,1.26,1.2658227848101264,ENSG00000270403,RP11-35P15.1
0.0400929,1,1,1.08,1.075268817204301,ENSG00000270426,RP11-326I11.5
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000270599,RP11-324O2.6
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000270823,hsa-mir-335
0.0400929,1,1,1.08,1.075268817204301,ENSG00000271185,RP5-855F16.1
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000271234,RP5-894D12.4
0.0400929,1,1,1.08,1.075268817204301,ENSG00000271715,CTD-2256P15.5
0.0400929,1,1,1.08,1.075268817204301,ENSG00000271931,RP11-63L7.5
0.0400929,1,1,1.08,1.075268817204301,ENSG00000272029,RP3-511B24.6
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000272034,SNORD14A
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000272182,RP11-802O23.3
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000272226,RP11-63G10.3
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000272319,AL022345.7
0.0400929,1,1,1.26,1.2658227848101264,ENSG00000272432,RP3-465N24.6
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000272564,RP11-548P2.2
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000272859,RP11-352E8.2
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000273002,RP11-336K24.12
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000273007,RP11-170N16.3
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000273008,RP11-351D16.3
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000273058,RP11-385F5.5
0.0400929,1,1,1.14,1.1363636363636365,ENSG00000273179,RP11-20I20.4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000273183,RP11-5C23.2
0.0400929,1,1,1.06,1.0638297872340425,ENSG00000273245,RP11-434P11.2
0.0400929,1,1,1.56,1.5625,ENSG00000100968,NFATC4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000121270,ABCC11
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000122477,LRRC39
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000128298,BAIAP2L2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000132872,SYT4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000142538,PTH2
0.0400929,1,1,1.56,1.5625,ENSG00000145384,FABP2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000147117,ZNF157
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000148204,CRB2
0.0400929,1,1,1.79,1.7857142857142856,ENSG00000150594,ADRA2A
0.0400929,1,1,1.56,1.5625,ENSG00000152154,TMEM178A
0.0400929,1,1,1.56,1.5625,ENSG00000153347,FAM81B
0.0400929,1,1,1.58,1.5873015873015872,ENSG00000154493,C10orf90
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000163377,FAM19A4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000163746,PLSCR2
0.0400929,1,1,1.56,1.5625,ENSG00000164049,FBXW12
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000166450,PRTG
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000168348,INSM2
0.0400929,1,1,1.56,1.5625,ENSG00000170011,MYRIP
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000172969,FRG2C
0.0400929,1,1,1.56,1.5625,ENSG00000173389,IQCF1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000173662,TAS1R1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000175728,C11orf44
0.0400929,1,1,1.56,1.5625,ENSG00000175800,OR52B3P
0.0400929,1,1,1.56,1.5625,ENSG00000176438,SYNE3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000177455,CD19
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000181378,CCDC108
0.0400929,1,1,2.02,2.0408163265306123,ENSG00000181778,TMEM252
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000197838,CYP2A13
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000198300,PEG3
0.0400929,1,1,1.56,1.5625,ENSG00000200201,Y_RNA
0.0400929,1,1,1.56,1.5625,ENSG00000200347,RNU6-963P
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000201121,Y_RNA
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000201622,RNU6-621P
0.0400929,1,1,1.56,1.5625,ENSG00000203804,ADAMTSL4-AS1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000203808,BVES-AS1
0.0400929,1,1,1.56,1.5625,ENSG00000209702,SNORD41
0.0400929,1,1,1.56,1.5625,ENSG00000212195,U3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000212433,RNA5SP252
0.0400929,1,1,1.56,1.5625,ENSG00000213886,UBD
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000213997,PGAM1P7
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000214243,AC004980.10
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000215244,RP11-563J2.2
0.0400929,1,1,2.12,2.127659574468085,ENSG00000220721,OR1F12
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000223558,TRIM60P17
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000224347,SCEL-AS1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000224361,AC011239.1
0.0400929,1,1,1.56,1.5625,ENSG00000224488,RP11-492A12.2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000224814,AC114812.8
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000225652,RP11-619F23.2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000226352,RP11-523H24.3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000226478,UPF3AP1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000226875,ZNF877P
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000226996,AP000477.3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000227163,RP5-1198O20.5
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000228507,DAP3P2
0.0400929,1,1,1.56,1.5625,ENSG00000228852,RP11-57H12.5
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000228878,AC007551.3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000229457,AC006227.1
0.0400929,1,1,1.56,1.5625,ENSG00000229605,RP11-492M23.2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000229917,RPL7P46
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000230163,RP5-997D16.2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000230758,SNAP23P
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000231105,RP5-1071N3.1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000231419,LINC00689
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000231551,RP11-495P10.1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000233782,ZNF90P3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000234396,RP11-181G12.4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000235081,AC010492.2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000235158,AC087430.1
0.0400929,1,1,1.56,1.5625,ENSG00000235881,AC114776.3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000235997,AC109642.1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000236388,ITCH-AS1
0.0400929,1,1,1.56,1.5625,ENSG00000237351,CTD-2522E6.4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000237731,RNGTTP1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000239881,RPS27P25
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000240135,PSMD12P
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000241159,RN7SL160P
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000241684,ADAMTS9-AS2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000242569,RP11-435B5.3
0.0400929,1,1,1.56,1.5625,ENSG00000248254,AC092597.3
0.0400929,1,1,1.56,1.5625,ENSG00000249690,RP11-1336O20.2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000250049,RP11-348J24.2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000250421,RP11-83M16.6
0.0400929,1,1,1.56,1.5625,ENSG00000250826,HNRNPA3P13
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000250971,RP11-696F12.1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000251629,RP11-774D14.1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000252110,snoU13
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000252186,RNU6-781P
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000252255,RNU2-35P
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000253175,RP11-267M23.6
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000253605,HNRNPA1P38
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000254548,RP11-429J17.5
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000254713,HNRNPA1P72
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000254946,RP11-531H8.1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000255382,RP11-718B12.2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000255387,RP11-23F23.3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000257400,RP11-778J16.3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000258906,CTD-2552B11.3
0.0400929,1,1,1.56,1.5625,ENSG00000258914,CTD-2134A5.3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000259542,RP11-522B15.4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000259585,RP11-150L8.4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000260248,RP11-143K11.1
0.0400929,1,1,1.56,1.5625,ENSG00000260479,RP11-556H2.3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000260600,RP11-109D24.1
0.0400929,1,1,1.56,1.5625,ENSG00000262521,AJ003147.8
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000263337,RP11-1277H1.3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000264317,RN7SL154P
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000265012,AC024896.1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000265731,RN7SL522P
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000266037,RN7SL3
0.0400929,1,1,1.56,1.5625,ENSG00000266411,RP11-180P8.3
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000267387,CTD-2240E14.4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000268108,CTB-60B18.12
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000269121,AC007216.2
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000269737,RP11-345P4.7
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000270149,RP11-544M22.13
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000272425,RP11-363E6.4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000272491,RP5-1024N4.4
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000272979,RP11-647K16.1
0.0400929,1,1,1.27,1.2658227848101264,ENSG00000273406,RP11-114O18.1
0.0400955,1,8.5,20.17,2.380952380952381,ENSG00000081386,ZNF510
0.0401473,1,11,4.46,0.4048582995951417,ENSG00000237883,DGUOK-AS1
0.0401999,1,1.05,1.36,1.2987012987012987,ENSG00000113209,PCDHB5
0.0403962,1,25.36,14.02,0.5524861878453039,ENSG00000168077,SCARA3
0.0404104,1,24.45,10.66,0.4366812227074236,ENSG00000129270,MMP28
0.0404786,1,34.33,51.06,1.4925373134328357,ENSG00000047644,WWC3
0.0405653,1,204.81,123.33,0.6024096385542169,ENSG00000119125,GDA
0.0406431,1,4.91,2.62,0.53475935828877,ENSG00000196371,FUT4
0.0407803,1,1.11,1.56,1.4084507042253522,ENSG00000254122,PCDHGB7
0.0408368,1,38.49,54.36,1.4084507042253522,ENSG00000018610,CXorf56
0.0408989,1,38.03,20.23,0.5319148936170213,ENSG00000136155,SCEL
0.0409181,1,3.04,5.83,1.923076923076923,ENSG00000196366,C9orf163
0.0410099,1,1.07,1.45,1.3513513513513513,ENSG00000272948,AP001412.1
0.0410166,1,1.21,2.14,1.7857142857142856,ENSG00000225564,RP11-341A22.2
0.0411595,1,65.65,46.95,0.7142857142857143,ENSG00000165912,PACSIN3
0.0411759,1,1.07,1.44,1.3513513513513513,ENSG00000242574,HLA-DMB
0.0412115,1,35.47,23.73,0.6711409395973155,ENSG00000104290,FZD3
0.041241,1,1.11,1.56,1.4084507042253522,ENSG00000171873,ADRA1D
0.0412661,1,2.86,1.08,0.37593984962406013,ENSG00000186496,ZNF396
0.041299,1,22.45,12.24,0.5464480874316939,ENSG00000130589,HELZ2
0.0413543,1,40.4,56.23,1.3888888888888888,ENSG00000005302,MSL3
0.0413995,1,2.78,9.02,3.2258064516129035,ENSG00000272563,RP11-480C16.1
0.0414272,1,50,97.63,1.9607843137254901,ENSG00000159055,MIS18A
0.0414339,1,50.61,39.25,0.7751937984496123,ENSG00000121848,RNF115
0.0415364,1,46.75,26.37,0.5649717514124294,ENSG00000013583,HEBP1
0.0416169,1,187.99,140.25,0.7462686567164178,ENSG00000163814,CDCP1
0.0417549,1,78.65,114.14,1.4492753623188408,ENSG00000164615,CAMLG
0.0418434,1,73.24,47.78,0.6535947712418301,ENSG00000106144,CASP2
0.0418653,1,6.91,2.77,0.4016064257028112,ENSG00000101473,ACOT8
0.0420214,1,10.99,5.81,0.5291005291005292,ENSG00000198894,CIPC
0.0423102,1,39.16,17.97,0.4587155963302752,ENSG00000099860,GADD45B
0.0423547,1,8.47,3.22,0.3802281368821293,ENSG00000132664,POLR3F
0.042406,1,316.3,811.69,2.564102564102564,ENSG00000054654,SYNE2
0.0424596,1,227.27,471.57,2.0833333333333335,ENSG00000128951,DUT
0.0424751,1,28.41,75.26,2.6315789473684212,ENSG00000112701,SENP6
0.0425792,1,38.72,19.81,0.5128205128205129,ENSG00000137747,TMPRSS13
0.0427917,1,1.51,2.87,1.8867924528301885,ENSG00000185220,PGBD2
0.0427951,1,1.29,2.38,1.8518518518518516,ENSG00000061455,PRDM6
0.0428158,1,1.22,2.04,1.6666666666666667,ENSG00000232654,FAM136BP
0.0428726,1,1.63,4.08,2.5,ENSG00000113119,TMCO6
0.0429912,1,31.87,82.78,2.564102564102564,ENSG00000152133,GPATCH11
0.0430502,1,20.4,42.06,2.0408163265306123,ENSG00000228223,HCG11
0.0431127,1,29.49,16.41,0.5555555555555556,ENSG00000137573,SULF1
0.0432143,1,25.28,18.01,0.7142857142857143,ENSG00000144959,NCEH1
0.0432277,1,1.01,1.71,1.6949152542372883,ENSG00000196559,LINC00610
0.043256,1,184.78,263.44,1.4285714285714286,ENSG00000212907,MT-ND4L
0.043274,1,1.04,1.41,1.36986301369863,ENSG00000261286,RP11-517C16.2
0.0433435,1,18.21,52.98,2.941176470588235,ENSG00000121621,KIF18A
0.0433608,1,13.06,28.04,2.127659574468085,ENSG00000106123,EPHB6
0.0433736,1,15.12,11.15,0.7352941176470588,ENSG00000159322,ADPGK
0.0433787,1,118.41,222.91,1.8867924528301885,ENSG00000136813,KIAA0368
0.0435273,1,20.72,35.6,1.7241379310344829,ENSG00000109445,ZNF330
0.043544,1,18.04,8.67,0.4807692307692307,ENSG00000164078,MST1R
0.0436384,1,4.87,2.06,0.42194092827004215,ENSG00000237753,AC079922.3
0.0436481,1,1.37,3.41,2.5,ENSG00000260735,RP11-72I8.1
0.0437986,1,15.52,35.57,2.272727272727273,ENSG00000096872,IFT74
0.0438211,1,35.01,51.05,1.4492753623188408,ENSG00000101745,ANKRD12
0.0438413,1,34.35,55.53,1.6129032258064517,ENSG00000244754,N4BP2L2
0.043854,1,2.48,1.06,0.4273504273504274,ENSG00000001561,ENPP4
0.0438544,1,1.1,1.62,1.4705882352941175,ENSG00000250514,RP11-96P7.1
0.0438693,1,12.01,26.59,2.2222222222222223,ENSG00000077458,FAM76B
0.0438894,1,122.38,86.45,0.7042253521126761,ENSG00000213923,CSNK1E
0.043951,1,1.01,2.02,2.0,ENSG00000238576,snoU13
0.0440207,1,31.11,14.79,0.47619047619047616,ENSG00000103888,KIAA1199
0.0440313,1,50.98,93.14,1.8181818181818181,ENSG00000178105,DDX10
0.0440424,1,2.83,10.53,3.7037037037037033,ENSG00000153291,SLC25A27
0.0440796,1,1.27,2.86,2.272727272727273,ENSG00000210127,MT-TA
0.0442282,1,75.89,43.17,0.5681818181818182,ENSG00000176834,VSIG10
0.0443042,1,563.43,700.6,1.25,ENSG00000089009,RPL6
0.0444144,1,33.68,11.94,0.3546099290780142,ENSG00000176170,SPHK1
0.0444345,1,3.82,1.36,0.35587188612099646,ENSG00000267308,AC004510.3
0.0444894,1,1.69,3.32,1.9607843137254901,ENSG00000122432,SPATA1
0.044494,1,78.39,191.06,2.4390243902439024,ENSG00000163029,SMC6
0.0445297,1,5.18,2.69,0.5181347150259068,ENSG00000018280,SLC11A1
0.0445518,1,1.04,1.35,1.2987012987012987,ENSG00000260177,RP4-536B24.3
0.0446399,1,1.2,1.84,1.5151515151515151,ENSG00000266947,RP11-799D4.4
0.0447603,1,76.47,50.61,0.6622516556291391,ENSG00000114554,PLXNA1
0.0447718,1,3.78,7.91,2.0833333333333335,ENSG00000215908,CROCCP2
0.0448902,1,1.21,2.28,1.8867924528301885,ENSG00000131849,ZNF132
0.0449874,1,1.88,4.26,2.272727272727273,ENSG00000267453,AC004791.2
0.0450138,1,1.2,2.11,1.7543859649122808,ENSG00000259735,RP11-356M20.3
0.0450314,1,106.09,189.5,1.7857142857142856,ENSG00000077097,TOP2B
0.045041,1,4.61,11.72,2.564102564102564,ENSG00000131389,SLC6A6
0.045058,1,236.23,333.1,1.4084507042253522,ENSG00000122545,7-Sep
0.0451387,1,19.23,35.09,1.8181818181818181,ENSG00000233137,RP11-220I1.1
0.0451513,1,1.28,2.35,1.8518518518518516,ENSG00000272918,CTB-152G17.6
0.0452719,1,42.5,27,0.6369426751592356,ENSG00000137288,UQCC2
0.0453206,1,1.12,1.77,1.5873015873015872,ENSG00000169896,ITGAM
0.0453208,1,1.12,1.79,1.5873015873015872,ENSG00000132518,GUCY2D
0.0453373,1,4953.45,2897.18,0.5847953216374269,ENSG00000177469,PTRF
0.0453768,1,41.31,64.19,1.5625,ENSG00000108443,RPS6KB1
0.045451,1,1.88,3.52,1.8867924528301885,ENSG00000234284,ZNF879
0.0454772,1,26.68,13.94,0.5235602094240838,ENSG00000106346,USP42
0.0454882,1,1.1,1.62,1.4705882352941175,ENSG00000239791,AC002310.7
0.0454953,1,18.05,11.02,0.6097560975609756,ENSG00000185813,PCYT2
0.0455897,1,1.01,1.4,1.3888888888888888,ENSG00000135324,MRAP2
0.0456206,1,82.09,50.23,0.6134969325153374,ENSG00000146592,CREB5
0.0456265,1,158.74,255.19,1.6129032258064517,ENSG00000159140,SON
0.0456582,1,2.68,5.83,2.1739130434782608,ENSG00000271918,CTD-2287O16.5
0.0458217,1,54.83,97.24,1.7857142857142856,ENSG00000106443,PHF14
0.0458733,1,43.1,33.55,0.78125,ENSG00000130962,PRRG1
0.0458842,1,66.25,46.01,0.6944444444444444,ENSG00000151116,UEVLD
0.0459545,1,2.05,4.84,2.380952380952381,ENSG00000156469,MTERFD1
0.0460227,1,89.59,56.47,0.6289308176100629,ENSG00000169217,CD2BP2
0.0460487,1,2.07,1.06,0.5102040816326531,ENSG00000188549,C15orf52
0.0460889,1,55.01,207.41,3.7037037037037033,ENSG00000135373,EHF
0.0461131,1,10.96,6.74,0.6134969325153374,ENSG00000066629,EML1
0.0461162,1,24.01,12.13,0.5050505050505051,ENSG00000106009,BRAT1
0.046146,1,12.13,5.72,0.4716981132075471,ENSG00000088899,LZTS3
0.0461558,1,57.42,92.37,1.6129032258064517,ENSG00000102038,SMARCA1
0.0462063,1,1.9,5.4,2.857142857142857,ENSG00000264963,RN7SL440P
0.0463197,1,2611.88,6987.55,2.7027027027027026,ENSG00000211459,MT-RNR1
0.0463819,1,40.68,28.45,0.6993006993006994,ENSG00000107105,ELAVL2
0.0463946,1,41.4,62.32,1.5151515151515151,ENSG00000111331,OAS3
0.04649,1,61.3,84.55,1.3888888888888888,ENSG00000101126,ADNP
0.0465708,1,117.26,77.18,0.6578947368421053,ENSG00000005020,SKAP2
0.0466333,1,8.75,16.29,1.8518518518518516,ENSG00000110888,CAPRIN2
0.0467195,1,14.26,8.09,0.5681818181818182,ENSG00000128283,CDC42EP1
0.0467237,1,2.51,6.15,2.4390243902439024,ENSG00000079313,REXO1
0.0467411,1,5.61,14,2.5,ENSG00000215105,TTC3P1
0.046748,1,4.68,1.67,0.35714285714285715,ENSG00000157613,CREB3L1
0.0467502,1,380.55,265.65,0.6993006993006994,ENSG00000110651,CD81
0.0467757,1,290.04,164.91,0.5681818181818182,ENSG00000188643,S100A16
0.0467873,1,16.89,34.64,2.0408163265306123,ENSG00000135899,SP110
0.0468055,1,340.35,679.65,2.0,ENSG00000136824,SMC2
0.0468369,1,1.01,1.34,1.3157894736842106,ENSG00000188032,C19orf67
0.0468369,1,1.01,1.34,1.3157894736842106,ENSG00000206192,ANKRD20A9P
0.0468369,1,1.01,1.34,1.3157894736842106,ENSG00000234136,AC055764.1
0.0468691,1,59.66,33.31,0.5586592178770949,ENSG00000100097,LGALS1
0.0469008,1,21.67,13.36,0.6172839506172839,ENSG00000114993,RTKN
0.0469261,1,10.64,22.25,2.0833333333333335,ENSG00000125430,HS3ST3B1
0.0469297,1,1.01,1.33,1.3157894736842106,ENSG00000132718,SYT11
0.0469297,1,1.01,1.33,1.3157894736842106,ENSG00000227835,CARM1P1
0.0469513,1,1.02,2.02,2.0,ENSG00000233895,RP1-122P22.2
0.0470316,1,1.01,1.56,1.5384615384615383,ENSG00000220008,LINGO3
0.0470316,1,1.01,1.56,1.5384615384615383,ENSG00000224396,METTL15P3
0.0470316,1,1.01,1.56,1.5384615384615383,ENSG00000236671,PRKG1-AS1
0.0470316,1,1.01,1.56,1.5384615384615383,ENSG00000249341,RP11-317M11.1
0.0470471,1,1.21,2.11,1.7543859649122808,ENSG00000268573,RP11-158H5.7
0.0471704,1,85.69,133.8,1.5625,ENSG00000196591,HDAC2
0.0472711,1,18.19,11.27,0.6211180124223602,ENSG00000119986,AVPI1
0.047331,1,40.95,22.15,0.5405405405405405,ENSG00000099337,KCNK6
0.0473371,1,33.73,19.94,0.591715976331361,ENSG00000137312,FLOT1
0.0473634,1,85.5,50.3,0.5882352941176471,ENSG00000006756,ARSD
0.047434,1,1.05,1.37,1.2987012987012987,ENSG00000116031,CD207
0.0475027,1,5.36,2.54,0.47393364928909953,ENSG00000152382,TADA1
0.0475047,1,61.54,87.7,1.4285714285714286,ENSG00000136436,CALCOCO2
0.047512,1,1.18,2.01,1.6949152542372883,ENSG00000180855,ZNF443
0.047532,1,1.04,1.43,1.36986301369863,ENSG00000224043,CCNT2-AS1
0.0475458,1,108.8,132.43,1.2195121951219512,ENSG00000001084,GCLC
0.0475618,1,2.66,6.58,2.5,ENSG00000255100,RP11-21L23.3
0.047574,1,42.47,29.16,0.684931506849315,ENSG00000176058,TPRN
0.0475901,1,1.01,1.52,1.4925373134328357,ENSG00000232872,CTAGE3P
0.0476739,1,14.31,35.8,2.5,ENSG00000049239,H6PD
0.0477274,1,2.09,1,0.47846889952153115,ENSG00000214376,VSTM5
0.0478188,1,18.34,9.07,0.49504950495049505,ENSG00000187953,PMS2CL
0.047819,1,21.18,31.79,1.4925373134328357,ENSG00000123739,PLA2G12A
0.0478576,1,113.66,84.25,0.7407407407407407,ENSG00000157916,RER1
0.0478866,1,1.17,2.18,1.8867924528301885,ENSG00000267002,RP11-242D8.1
0.0479723,1,127.19,163.56,1.282051282051282,ENSG00000090863,GLG1
0.0480114,1,1.07,1.65,1.5384615384615383,ENSG00000124657,OR2B6
0.0480557,1,16.43,31.56,1.923076923076923,ENSG00000042088,TDP1
0.0481131,1,82.73,56.63,0.684931506849315,ENSG00000125818,PSMF1
0.0481618,1,168.9,228.91,1.3513513513513513,ENSG00000163960,UBXN7
0.0481917,1,16.66,47.51,2.857142857142857,ENSG00000253710,ALG11
0.0482214,1,1.09,1.84,1.6949152542372883,ENSG00000228409,CCT6P1
0.0482377,1,7,11.18,1.5873015873015872,ENSG00000204852,TCTN1
0.0482482,1,62.36,40.97,0.6578947368421053,ENSG00000178896,EXOSC4
0.0483266,1,2.59,6.89,2.6315789473684212,ENSG00000196123,KIAA0895L
0.0483308,1,6.25,18.33,2.941176470588235,ENSG00000257315,ZBED6
0.0483948,1,27.13,65.99,2.4390243902439024,ENSG00000142856,ITGB3BP
0.0484589,1,9.69,24.89,2.564102564102564,ENSG00000145715,RASA1
0.0484721,1,13.05,7.33,0.5617977528089888,ENSG00000126016,AMOT
0.0484786,1,7.34,14.92,2.0408163265306123,ENSG00000135503,ACVR1B
0.0485116,1,12.54,22.62,1.8181818181818181,ENSG00000135951,TSGA10
0.0485758,1,9.71,4.16,0.4291845493562232,ENSG00000218891,ZNF579
0.0485848,1,14.52,23.4,1.6129032258064517,ENSG00000159267,HLCS
0.0486168,1,168.59,293.6,1.7543859649122808,ENSG00000080503,SMARCA2
0.0486185,1,13.2,7.2,0.5464480874316939,ENSG00000173320,STOX2
0.0486431,1,77.28,117.53,1.5151515151515151,ENSG00000150316,CWC15
0.0486456,1,76.16,49.76,0.6535947712418301,ENSG00000152229,PSTPIP2
0.0486889,1,11.32,4.94,0.4366812227074236,ENSG00000012171,SEMA3B
0.0487003,1,1.01,1.27,1.2658227848101264,ENSG00000109956,B3GAT1
0.0487003,1,1.01,1.27,1.2658227848101264,ENSG00000129226,CD68
0.0487003,1,1.01,1.27,1.2658227848101264,ENSG00000131864,USP29
0.0487003,1,1.01,1.27,1.2658227848101264,ENSG00000143199,ADCY10
