Parametric p-value,FDR,Geom mean of intensities in class 1,Geom mean of intensities in class 2,Fold-change(KD/C),UniqueID,Symbol
0.0084094,1,1.01,1.21,1.1904761904761905,ENSG00000267868,RP11-120K24.3
0.0084152,1,19.85,10.1,0.5076142131979695,ENSG00000116670,MAD2L2
0.0085262,1,1.03,1.45,1.4084507042253522,ENSG00000247130,RP11-366H4.3
0.0085439,1,1.03,1.44,1.4084507042253522,ENSG00000235173,FAM203A
0.0085856,1,206.14,97.79,0.47393364928909953,ENSG00000198142,SOWAHC
0.0086422,1,1.34,3.61,2.7027027027027026,ENSG00000214837,RP11-261C10.3
0.0086895,1,129.32,56.58,0.4366812227074236,ENSG00000035862,TIMP2
0.0087146,1,1.16,3.05,2.6315789473684212,ENSG00000236184,TCEA1P4
0.0087722,1,277.13,157.95,0.5714285714285714,ENSG00000110047,EHD1
0.0088651,1,120.19,60.7,0.5050505050505051,ENSG00000163430,FSTL1
0.008877,1,52.39,39.09,0.7462686567164178,ENSG00000235750,KIAA0040
0.0089344,1,73.39,35.71,0.48780487804878053,ENSG00000168101,NUDT16L1
0.0089345,1,10.38,18.86,1.8181818181818181,ENSG00000164631,ZNF12
0.0090195,1,10.6,4.19,0.3952569169960475,ENSG00000234585,CCT6P3
0.0090284,1,38.21,77.72,2.0408163265306123,ENSG00000035115,SH3YL1
0.009037,1,18.67,56.09,3.0303030303030303,ENSG00000203727,SAMD5
0.0090622,1,96.57,49.82,0.5154639175257733,ENSG00000167306,MYO5B
0.0090646,1,13.95,39.41,2.857142857142857,ENSG00000110536,PTPMT1
0.0090827,1,3.84,1.37,0.35587188612099646,ENSG00000204618,RNF39
0.0091036,1,58.07,97.12,1.6666666666666667,ENSG00000131263,RLIM
0.0091168,1,1.17,2.2,1.8867924528301885,ENSG00000151322,NPAS3
0.009128,1,5.36,9.67,1.8181818181818181,ENSG00000109158,GABRA4
0.0091784,1,75.34,44.14,0.5847953216374269,ENSG00000122068,FYTTD1
0.0092005,1,1.07,2.48,2.3255813953488373,ENSG00000248029,CTD-2313F11.3
0.0092445,1,27.07,14.32,0.5291005291005292,ENSG00000114988,LMAN2L
0.0092551,1,26.85,46.57,1.7241379310344829,ENSG00000119866,BCL11A
0.0093345,1,19.64,11.32,0.5780346820809249,ENSG00000103064,SLC7A6
0.0093952,1,22.23,43.58,1.9607843137254901,ENSG00000189180,ZNF33A
0.0094288,1,24.54,60.34,2.4390243902439024,ENSG00000172403,SYNPO2
0.0095139,1,282.21,148.48,0.5263157894736842,ENSG00000167644,C19orf33
0.0095583,1,10.98,4.4,0.4,ENSG00000162444,RBP7
0.0096564,1,5.85,2.17,0.37037037037037035,ENSG00000175344,CHRNA7
0.0097375,1,107.48,200.99,1.8867924528301885,ENSG00000163714,U2SURP
0.0097616,1,45.33,19,0.41841004184100417,ENSG00000088836,SLC4A11
0.0098096,1,14.34,7.2,0.5025125628140703,ENSG00000103510,KAT8
0.009829,1,1.1,1.69,1.5384615384615383,ENSG00000139737,SLAIN1
0.0098865,1,1.07,1.69,1.5873015873015872,ENSG00000237877,AC097500.2
0.0099293,1,1.13,2.56,2.272727272727273,ENSG00000175536,LIPT2
0.0099638,1,6.47,2.22,0.3424657534246575,ENSG00000149262,INTS4
0.0099946,1,3.87,1.69,0.4366812227074236,ENSG00000273081,RP4-813F11.4
0.010018,1,42.14,23.56,0.5586592178770949,ENSG00000174915,PTDSS2
0.010205,1,21.02,11.17,0.5319148936170213,ENSG00000180758,GPR157
0.0102303,1,17.64,8.32,0.4716981132075471,ENSG00000082146,STRADB
0.0102869,1,1.46,2.77,1.8867924528301885,ENSG00000053702,NRIP2
0.0103087,1,56.45,38.27,0.6756756756756757,ENSG00000073712,FERMT2
0.0103161,1,71.36,135.52,1.8867924528301885,ENSG00000249915,PDCD6
0.0103285,1,27.66,12.84,0.46511627906976744,ENSG00000163754,GYG1
0.010339,1,79.69,44.08,0.5524861878453039,ENSG00000157637,SLC38A10
0.0104669,1,78.02,109.92,1.4084507042253522,ENSG00000147862,NFIB
0.0104951,1,27.32,14.71,0.5376344086021505,ENSG00000170919,TPT1-AS1
0.0104978,1,27.53,14.02,0.5102040816326531,ENSG00000100290,BIK
0.0104991,1,1.37,3.15,2.272727272727273,ENSG00000143994,ABHD1
0.0105091,1,77.14,179.09,2.3255813953488373,ENSG00000177565,TBL1XR1
0.010512,1,1.04,1.77,1.6949152542372883,ENSG00000182021,RP11-381O7.3
0.0105139,1,5.87,2.46,0.41841004184100417,ENSG00000103043,VAC14
0.0105275,1,111.74,65.96,0.591715976331361,ENSG00000160075,SSU72
0.0105508,1,1.01,1.35,1.3333333333333333,ENSG00000162723,SLAMF9
0.0106656,1,1.01,1.14,1.1235955056179776,ENSG00000171045,TSNARE1
0.0107107,1,1,1.41,1.4084507042253522,ENSG00000249084,RP11-376O6.2
0.0107402,1,1.08,2.28,2.127659574468085,ENSG00000075073,TACR2
0.0108115,1,4.38,9.3,2.127659574468085,ENSG00000078900,TP73
0.0108168,1,24.9,40.37,1.6129032258064517,ENSG00000164687,FABP5
0.0108252,1,104.8,150.77,1.4285714285714286,ENSG00000112992,NNT
0.0108697,1,38.74,58.3,1.5151515151515151,ENSG00000135108,FBXO21
0.0108877,1,1.22,2.54,2.0833333333333335,ENSG00000172348,RCAN2
0.0109747,1,19.28,29.61,1.5384615384615383,ENSG00000182247,UBE2E2
0.0109799,1,21.45,38.22,1.7857142857142856,ENSG00000119720,NRDE2
0.0109999,1,32.9,61.7,1.8867924528301885,ENSG00000134215,VAV3
0.0110076,1,1.09,1.61,1.4705882352941175,ENSG00000258399,MEG8
0.0110518,1,600.81,396.03,0.6578947368421053,ENSG00000144063,MALL
0.0110925,1,41.08,24.37,0.591715976331361,ENSG00000167378,IRGQ
0.0111684,1,1.2,2.5,2.0833333333333335,ENSG00000204837,RP11-204M4.2
0.0111836,1,583.82,941.72,1.6129032258064517,ENSG00000118971,CCND2
0.0112127,1,12.64,3.33,0.2631578947368421,ENSG00000215218,UBE2QL1
0.0112834,1,22.79,50.66,2.2222222222222223,ENSG00000106692,FKTN
0.0113016,1,90.9,41.92,0.4608294930875576,ENSG00000179862,CITED4
0.0113074,1,73.05,103.32,1.4084507042253522,ENSG00000132388,UBE2G1
0.0113831,1,22.96,13.12,0.5714285714285714,ENSG00000164181,ELOVL7
0.0115306,1,3284.93,1768.16,0.5376344086021505,ENSG00000158710,TAGLN2
0.0115374,1,289.52,201.18,0.6944444444444444,ENSG00000167470,MIDN
0.011548,1,53.17,37.6,0.7092198581560284,ENSG00000183207,RUVBL2
0.0115829,1,13.58,5.88,0.4329004329004329,ENSG00000073737,DHRS9
0.0116032,1,33.47,19.3,0.5780346820809249,ENSG00000161921,CXCL16
0.0117252,1,1.05,1.45,1.3888888888888888,ENSG00000254205,RP11-92K15.1
0.0118029,1,249.99,383.97,1.5384615384615383,ENSG00000215301,DDX3X
0.0118529,1,1,2.3,2.3255813953488373,ENSG00000184702,5-Sep
0.0118568,1,112.82,74.77,0.6622516556291391,ENSG00000116871,MAP7D1
0.0118596,1,59.24,36.56,0.6172839506172839,ENSG00000204922,C11orf83
0.0118779,1,260.98,460.26,1.7543859649122808,ENSG00000198763,MT-ND2
0.0118951,1,21.69,35.39,1.639344262295082,ENSG00000198001,IRAK4
0.0119346,1,59.73,30.86,0.5154639175257733,ENSG00000060558,GNA15
0.0119853,1,2.9,8.14,2.7777777777777777,ENSG00000151611,MMAA
0.012031,1,5.67,1.6,0.2824858757062147,ENSG00000272779,LL22NC03-80A10.6
0.0120888,1,274.78,184.59,0.6711409395973155,ENSG00000182534,MXRA7
0.0121307,1,15.08,7.78,0.5154639175257733,ENSG00000103653,CSK
0.0121726,1,228.64,112.45,0.4926108374384237,ENSG00000181649,PHLDA2
0.012252,1,66.97,97.65,1.4492753623188408,ENSG00000114503,NCBP2
0.0122609,1,63.08,35.95,0.5714285714285714,ENSG00000182287,AP1S2
0.0123043,1,11.22,6.19,0.5524861878453039,ENSG00000111696,NT5DC3
0.0123106,1,1.04,1.44,1.3888888888888888,ENSG00000232645,RP3-322G13.5
0.0123149,1,165,259.89,1.5873015873015872,ENSG00000136861,CDK5RAP2
0.0123958,1,1.53,3.86,2.5,ENSG00000221947,XKR9
0.0124055,1,19.62,43.2,2.2222222222222223,ENSG00000119684,MLH3
0.012445,1,242.68,173.41,0.7142857142857143,ENSG00000131236,CAP1
0.0125222,1,376.63,621.57,1.639344262295082,ENSG00000132780,NASP
0.0125313,1,10.07,3.26,0.3236245954692557,ENSG00000115221,ITGB6
0.012535,1,52.21,25.19,0.48309178743961356,ENSG00000163930,BAP1
0.012556,1,8.76,2.56,0.29154518950437314,ENSG00000168994,PXDC1
0.0125752,1,110.23,188.22,1.6949152542372883,ENSG00000135245,HILPDA
0.0125889,1,8.24,3.05,0.37037037037037035,ENSG00000179674,ARL14
0.0126176,1,65.92,36.07,0.5464480874316939,ENSG00000139266,9-Mar
0.0126797,1,3.79,1.4,0.37037037037037035,ENSG00000213967,ZNF726
0.0126977,1,44.06,64.84,1.4705882352941175,ENSG00000151923,TIAL1
0.0127068,1,11.37,24.3,2.127659574468085,ENSG00000152422,XRCC4
0.0127382,1,1.05,1.52,1.4492753623188408,ENSG00000273063,RP11-334G22.1
0.0127644,1,1.04,1.95,1.8867924528301885,ENSG00000173546,CSPG4
0.0127937,1,1.28,2.9,2.272727272727273,ENSG00000263120,RP5-1107A17.4
0.0128395,1,33.32,69.84,2.0833333333333335,ENSG00000035687,ADSS
0.012841,1,1.2,2.32,1.923076923076923,ENSG00000231703,RP4-669H2.1
